中央频道,#genre#
江西卫视,http://116.117.105.183:8096/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
江西卫视,http://116.117.106.240:8096/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
江西卫视,http://116.117.106.74:8096/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
河南卫视,http://116.117.105.247:8096/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
河南卫视,http://116.117.106.42:8096/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
河南卫视,http://116.117.104.39:8096/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
河南卫视,http://116.117.104.242:8096/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
河南卫视,http://116.117.105.183:8096/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
河南卫视,http://116.117.106.240:8096/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
河南卫视,http://116.117.106.74:8096/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
浙江卫视,http://116.117.105.247:8096/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
浙江卫视,http://116.117.106.42:8096/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
浙江卫视,http://116.117.104.39:8096/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
浙江卫视,http://116.117.104.242:8096/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
浙江卫视,http://116.117.105.183:8096/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
浙江卫视,http://116.117.106.240:8096/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
浙江卫视,http://116.117.106.74:8096/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
深圳卫视,http://116.117.105.247:8096/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
